"","kind",".pred_AI",".pred_class","detector","native","name","model","document_id","prompt"
"69","Human",0.999774277210236,"AI","HFOpenAI","No","Real TOEFL","Human",280,NA
"70","AI",0,"Human","ZeroGPT",NA,"Fake College Essays - GPT3 Prompt Engineered","GPT3",3,"Elevate using literary"
"71","AI",0.125,"Human","ZeroGPT",NA,"Fake College Essays - GPT3 Prompt Engineered","GPT3",205,"Elevate using literary"
"72","AI",0.000100059347200011,"Human","GPTZero",NA,"Fake CS224N - GPT3, PE","GPT4",680,"Elevate using technical"
"73","Human",0.000182784933713265,"Human","HFOpenAI","Yes","Real CS224N","Human",788,NA
"74","AI",0.123335771262646,"Human","HFOpenAI",NA,"Fake CS224N - GPT3","GPT3",384,"Plain"
"75","Human",0.00408719346049046,"Human","GPTZero","No","Real TOEFL","Human",450,NA
"76","AI",0.000178449714439921,"Human","Crossplag",NA,"Fake CS224N - GPT3, PE","GPT4",463,"Elevate using technical"
"77","AI",0.99975174665451,"AI","Crossplag",NA,"Fake CS224N - GPT3","GPT3",442,"Plain"
"78","Human",0.0034439493902028,"Human","OriginalityAI","Yes","Real CS224N","Human",748,NA
"79","Human",0.000217833337956108,"Human","HFOpenAI","Yes","US 8th grade essay","Human",194,NA
"80","AI",0.99999949701178,"AI","Sapling",NA,"Fake College Essays - GPT3","GPT3",537,"Plain"
"81","AI",0.00166994333267212,"Human","Quil",NA,"Fake CS224N - GPT3, PE","GPT4",517,"Elevate using technical"
"82","AI",0.999230923973337,"AI","Sapling",NA,"Fake CS224N - GPT3","GPT3",587,"Plain"
"83","Human",0.0053491815924644,"Human","OriginalityAI","Yes","Real CS224N","Human",855,NA
"84","Human",0.202427744865417,"Human","Quil","No","Real TOEFL","Human",418,NA
"85","AI",8.84271647794144e-07,"Human","Sapling",NA,"Fake College Essays - GPT3 Prompt Engineered","GPT3",203,"Elevate using literary"
"86","Human",3.0024069541954e-07,"Human","GPTZero","Yes","Real CS224N","Human",766,NA
"87","AI",0.000394157395930961,"Human","Crossplag",NA,"Fake CS224N - GPT3","GPT3",588,"Plain"
"88","AI",0.999623292857661,"AI","Sapling",NA,"Fake College Essays - GPT3","GPT3",71,"Plain"
"89","Human",0.114407047629356,"Human","HFOpenAI","No","Real TOEFL","Human",260,NA
"90","AI",2.03585220592828e-06,"Human","Sapling",NA,"US 8th grade essay - GPT simplify","GPT4",162,"Simplify like non-native"
"91","AI",0.982738196849823,"AI","HFOpenAI",NA,"Fake CS224N - GPT3","GPT3",510,"Plain"
"92","AI",0.017189271748066,"Human","OriginalityAI",NA,"Fake CS224N - GPT3, PE","GPT4",710,"Elevate using technical"
"93","AI",0.0123793408274651,"Human","HFOpenAI",NA,"Fake CS224N - GPT3, PE","GPT4",504,"Elevate using technical"
"94","Human",0.875,"AI","ZeroGPT","No","Real TOEFL","Human",334,NA
"95","AI",0.000187805839232169,"Human","Crossplag",NA,"Fake CS224N - GPT3, PE","GPT4",601,"Elevate using technical"
"96","Human",0.000170469284057617,"Human","Quil","Yes","US 8th grade essay","Human",125,NA
"97","Human",0.000195562839508057,"Human","Quil","Yes","US 8th grade essay","Human",94,NA
"98","AI",0,"Human","ZeroGPT",NA,"Fake College Essays - GPT3 Prompt Engineered","GPT3",918,"Elevate using literary"
"99","Human",0.000184522403287701,"Human","HFOpenAI","Yes","Real CS224N","Human",768,NA
"100","AI",0.000250756740570068,"Human","Quil",NA,"Fake College Essays - GPT3 Prompt Engineered","GPT3",382,"Elevate using literary"
"101","Human",0,"Human","ZeroGPT","No","Real TOEFL","Human",910,NA
"102","AI",0.25,"Human","ZeroGPT",NA,"US 8th grade essay - GPT simplify","GPT4",53,"Simplify like non-native"
"103","Human",0.13415,"Human","OriginalityAI","Yes","US 8th grade essay","Human",225,NA
"104","Human",0.034971486777067,"Human","OriginalityAI","Yes","Real CS224N","Human",882,NA
"105","Human",0.000179646813194267,"Human","Crossplag","Yes","Real CS224N","Human",846,NA
"106","Human",0.999824583530426,"AI","Quil","No","Real TOEFL","Human",430,NA
"107","AI",0.43789929151535,"Human","Quil",NA,"Fake TOEFL - GPT4 - PE","GPT4",308,"Enhance like native"
"108","Human",6.67025681153428e-24,"Human","GPTZero","Yes","US 8th grade essay","Human",472,NA
"109","AI",0.056323163211346,"Human","OriginalityAI",NA,"Fake CS224N - GPT3, PE","GPT4",669,"Elevate using technical"
"110","AI",0.927709460258484,"AI","Crossplag",NA,"Fake College Essays - GPT3","GPT3",538,"Plain"
"111","Human",0.000167905178386718,"Human","Crossplag","Yes","US 8th grade essay","Human",110,NA
"112","AI",0.000557795516215265,"Human","Crossplag",NA,"Fake TOEFL - GPT4 - PE","GPT4",288,"Enhance like native"
"113","Human",0.51474267244339,"AI","Crossplag","Yes","Real CS224N","Human",754,NA
"114","Human",0.00011220874876017,"Human","OriginalityAI","Yes","Real CS224N","Human",809,NA
"115","AI",0.00444810930639505,"Human","Crossplag",NA,"Fake CS224N - GPT3","GPT3",678,"Plain"
"116","AI",5.07864233556532e-07,"Human","Sapling",NA,"Fake TOEFL - GPT4 - PE","GPT4",355,"Enhance like native"
"117","AI",0.00014505203580484,"Human","OriginalityAI",NA,"Fake College Essays - GPT3 Prompt Engineered","GPT3",66,"Elevate using literary"
"118","Human",0.653521361552441,"AI","GPTZero","No","Real TOEFL","Human",344,NA
"119","AI",0.999992182969639,"AI","Sapling",NA,"Fake CS224N - GPT3, PE","GPT4",506,"Elevate using technical"
"120","AI",0.75,"AI","ZeroGPT",NA,"Fake TOEFL - GPT4 - PE","GPT4",309,"Enhance like native"
"121","AI",0.116017703138973,"Human","GPTZero",NA,"Fake CS224N - GPT3","GPT3",478,"Plain"
"122","AI",0.000100059347200011,"Human","GPTZero",NA,"Fake TOEFL - GPT4 - PE","GPT4",491,"Enhance like native"
"123","AI",0.99813324213028,"AI","Quil",NA,"US 8th grade essay - GPT simplify","GPT4",233,"Simplify like non-native"
"124","AI",0.997904181480408,"AI","Crossplag",NA,"US 8th grade essay - GPT simplify","GPT4",233,"Simplify like non-native"
"125","AI",0.0308499932289124,"Human","Quil",NA,"Fake College Essays - GPT3","GPT3",531,"Plain"
"126","Human",0.86334609985352,"AI","OriginalityAI","No","Real TOEFL","Human",467,NA
"127","Human",0.0003203624219168,"Human","OriginalityAI","Yes","Real CS224N","Human",798,NA
"128","AI",0.375,"Human","ZeroGPT",NA,"Fake CS224N - GPT3","GPT3",615,"Plain"
"129","Human",0.0195627901703119,"Human","Crossplag","No","Real TOEFL","Human",460,NA
"130","Human",0.0231884057971014,"Human","GPTZero","Yes","Real CS224N","Human",865,NA
"131","AI",0.000217146531213075,"Human","HFOpenAI",NA,"Fake CS224N - GPT3, PE","GPT4",616,"Elevate using technical"
"132","Human",0.784012913703918,"AI","HFOpenAI","No","Real TOEFL","Human",338,NA
"133","AI",5.04493713360255e-07,"Human","Sapling",NA,"Fake TOEFL - GPT4 - PE","GPT4",317,"Enhance like native"
"134","Human",0.17887818720192,"Human","OriginalityAI","Yes","Real College Essays","Human",224,NA
"135","AI",0.000169632199686021,"Human","HFOpenAI",NA,"Fake CS224N - GPT3, PE","GPT4",601,"Elevate using technical"
"136","AI",0.0339656365042869,"Human","GPTZero",NA,"Fake CS224N - GPT3","GPT3",636,"Plain"
"137","AI",6.6796674218494e-05,"Human","OriginalityAI",NA,"Fake College Essays - GPT3 Prompt Engineered","GPT3",5,"Elevate using literary"
"138","AI",0.987388074398041,"AI","Crossplag",NA,"Fake CS224N - GPT3","GPT3",522,"Plain"
"139","AI",0.999819457530975,"AI","Quil",NA,"Fake CS224N - GPT3","GPT3",37,"Plain"
"140","Human",1.47474244722172e-05,"Human","GPTZero","Yes","Real CS224N","Human",847,NA
"141","Human",1.44768899510501e-11,"Human","GPTZero","Yes","US 8th grade essay","Human",193,NA
"142","AI",3.20352725124984e-06,"Human","Sapling",NA,"Fake CS224N - GPT3, PE","GPT4",480,"Elevate using technical"
"143","AI",0.00083878386067227,"Human","OriginalityAI",NA,"Fake TOEFL - GPT4 - PE","GPT4",354,"Enhance like native"
"144","Human",0.000284107838524505,"Human","Crossplag","Yes","Real CS224N","Human",810,NA
"145","Human",0,"Human","ZeroGPT","Yes","US 8th grade essay","Human",436,NA
"146","AI",0.000195324420928955,"Human","Quil",NA,"Fake CS224N - GPT3, PE","GPT4",711,"Elevate using technical"
"147","AI",0.00017031337483786,"Human","OriginalityAI",NA,"Fake CS224N - GPT3, PE","GPT4",594,"Elevate using technical"
"148","AI",0.000190198421478271,"Human","Quil",NA,"Fake TOEFL - GPT4 - PE","GPT4",255,"Enhance like native"
"149","Human",6.03800851649704e-16,"Human","GPTZero","Yes","US 8th grade essay","Human",89,NA
"150","AI",0.000168085098266602,"Human","Quil",NA,"Fake CS224N - GPT3, PE","GPT4",594,"Elevate using technical"
"151","Human",0.0209087878465652,"Human","Crossplag","No","Real TOEFL","Human",322,NA
"152","AI",0.000100059347200011,"Human","GPTZero",NA,"Fake TOEFL - GPT4 - PE","GPT4",346,"Enhance like native"
"153","AI",2.12284478183524e-06,"Human","GPTZero",NA,"Fake TOEFL - GPT4 - PE","GPT4",248,"Enhance like native"
"154","AI",7.30473944443588e-07,"Human","Sapling",NA,"Fake TOEFL - GPT4 - PE","GPT4",270,"Enhance like native"
"155","AI",0.999145030975342,"AI","HFOpenAI",NA,"Fake CS224N - GPT3, PE","GPT4",551,"Elevate using technical"
"156","Human",0.000170725397765636,"Human","HFOpenAI","Yes","Real CS224N","Human",880,NA
"157","AI",1.13182358795939e-06,"Human","GPTZero",NA,"US 8th grade essay - GPT simplify","GPT4",251,"Simplify like non-native"
"158","AI",1.47474244722172e-05,"Human","GPTZero",NA,"Fake CS224N - GPT3","GPT3",610,"Plain"
"159","Human",0.00017935037612915,"Human","Quil","Yes","Real College Essays","Human",485,NA
"160","AI",0,"Human","ZeroGPT",NA,"Fake CS224N - GPT3, PE","GPT4",484,"Elevate using technical"
"161","Human",0,"Human","ZeroGPT","Yes","Real CS224N","Human",790,NA
"162","AI",0.99999861604546,"AI","Sapling",NA,"Fake College Essays - GPT3","GPT3",730,"Plain"
"163","AI",0.00087104900740087,"Human","OriginalityAI",NA,"Fake TOEFL - GPT4 - PE","GPT4",894,"Enhance like native"
"164","AI",0.999627102432788,"AI","Sapling",NA,"Fake CS224N - GPT3","GPT3",567,"Plain"
"165","Human",0.0001185969231301,"Human","OriginalityAI","Yes","Real CS224N","Human",826,NA
"166","AI",0.169279351830482,"Human","Crossplag",NA,"Fake CS224N - GPT3, PE","GPT4",434,"Elevate using technical"
"167","AI",0.000168949220096692,"Human","Crossplag",NA,"Fake College Essays - GPT3 Prompt Engineered","GPT3",539,"Elevate using literary"
"168","Human",0.00166010856628418,"Human","Quil","Yes","US 8th grade essay","Human",164,NA
"169","AI",0.584319710731506,"AI","Quil",NA,"Fake CS224N - GPT3, PE","GPT4",562,"Elevate using technical"
"170","AI",0.723657429218292,"AI","Crossplag",NA,"Fake CS224N - GPT3","GPT3",651,"Plain"
"171","AI",0.00325381476432085,"Human","Crossplag",NA,"Fake CS224N - GPT3","GPT3",686,"Plain"
"172","AI",0.000941947160754353,"Human","HFOpenAI",NA,"Fake CS224N - GPT3, PE","GPT4",561,"Elevate using technical"
"173","Human",2.12284478183524e-06,"Human","GPTZero","Yes","Real CS224N","Human",797,NA
"174","Human",2.81022767617947e-31,"Human","GPTZero","Yes","US 8th grade essay","Human",146,NA
"175","Human",0.000184167860425077,"Human","HFOpenAI","Yes","Real CS224N","Human",751,NA
"176","AI",0.00229662529059815,"Human","Sapling",NA,"Fake CS224N - GPT3","GPT3",672,"Plain"
"177","AI",0.000260310742305592,"Human","HFOpenAI",NA,"Fake CS224N - GPT3, PE","GPT4",696,"Elevate using technical"
"178","Human",0.0054233887640294,"Human","OriginalityAI","Yes","Real College Essays","Human",313,NA
"179","AI",0.000100059347200011,"Human","GPTZero",NA,"Fake CS224N - GPT3","GPT3",627,"Plain"
"180","Human",0,"Human","ZeroGPT","Yes","US 8th grade essay","Human",361,NA
"181","AI",6.58308624501558e-07,"Human","Sapling",NA,"Fake CS224N - GPT3, PE","GPT4",673,"Elevate using technical"
"182","Human",0.996987283229828,"AI","HFOpenAI","No","Real TOEFL","Human",430,NA
"183","AI",0.963677170403595,"AI","GPTZero",NA,"Fake College Essays - GPT3","GPT3",220,"Plain"
"184","Human",0,"Human","ZeroGPT","Yes","Real College Essays","Human",336,NA
"185","Human",0,"Human","ZeroGPT","Yes","US 8th grade essay","Human",173,NA
"186","AI",1.25873419973832e-05,"Human","Sapling",NA,"Fake CS224N - GPT3","GPT3",18,"Plain"
"187","AI",0.000100059347200011,"Human","GPTZero",NA,"US 8th grade essay - GPT simplify","GPT4",84,"Simplify like non-native"
"188","AI",0.000100059347200011,"Human","GPTZero",NA,"Fake TOEFL - GPT4 - PE","GPT4",244,"Enhance like native"
"189","AI",2.19297089032455e-06,"Human","Sapling",NA,"Fake CS224N - GPT3, PE","GPT4",520,"Elevate using technical"
"190","AI",0.000171641251654364,"Human","HFOpenAI",NA,"US 8th grade essay - GPT simplify","GPT4",159,"Simplify like non-native"
"191","AI",0.197642162442207,"Human","HFOpenAI",NA,"Fake CS224N - GPT3","GPT3",632,"Plain"
"192","Human",0.25,"Human","ZeroGPT","Yes","US 8th grade essay","Human",183,NA
"193","AI",0.0030576321296394,"Human","OriginalityAI",NA,"Fake TOEFL - GPT4 - PE","GPT4",923,"Enhance like native"
"194","Human",0.99749255180359,"AI","OriginalityAI","Yes","Real CS224N","Human",867,NA
"195","AI",0.905794501304626,"AI","HFOpenAI",NA,"Fake College Essays - GPT3","GPT3",65,"Plain"
"196","AI",0.4361267387867,"Human","OriginalityAI",NA,"Fake CS224N - GPT3, PE","GPT4",724,"Elevate using technical"
"197","AI",0.85648632049561,"AI","OriginalityAI",NA,"Fake College Essays - GPT3","GPT3",537,"Plain"
"198","AI",0.00737982988357544,"Human","Quil",NA,"Fake CS224N - GPT3, PE","GPT4",527,"Elevate using technical"
"199","AI",0,"Human","ZeroGPT",NA,"Fake College Essays - GPT3 Prompt Engineered","GPT3",539,"Elevate using literary"
"200","AI",0.020740019157529,"Human","OriginalityAI",NA,"Fake CS224N - GPT3","GPT3",384,"Plain"
"201","Human",0.125,"Human","ZeroGPT","No","Real TOEFL","Human",246,NA
"202","AI",1,"AI","ZeroGPT",NA,"Fake College Essays - GPT3","GPT3",891,"Plain"
"203","AI",0.000171135776326992,"Human","Crossplag",NA,"Fake CS224N - GPT3, PE","GPT4",556,"Elevate using technical"
"204","AI",0.0231493897736073,"Human","Crossplag",NA,"Fake TOEFL - GPT4 - PE","GPT4",428,"Enhance like native"
"205","AI",0.999999598871431,"AI","Sapling",NA,"Fake CS224N - GPT3, PE","GPT4",679,"Elevate using technical"
"206","Human",0.00389431611351343,"Human","Sapling","No","Real TOEFL","Human",332,NA
"207","AI",1,"AI","ZeroGPT",NA,"US 8th grade essay - GPT simplify","GPT4",394,"Simplify like non-native"
"208","AI",0.000184744407306425,"Human","Crossplag",NA,"Fake College Essays - GPT3 Prompt Engineered","GPT3",42,"Elevate using literary"
"209","AI",0.000167993275681511,"Human","Crossplag",NA,"Fake TOEFL - GPT4 - PE","GPT4",283,"Enhance like native"
"210","Human",0.42893841909245,"Human","OriginalityAI","Yes","Real College Essays","Human",470,NA
"211","Human",0,"Human","ZeroGPT","Yes","Real CS224N","Human",866,NA
"212","AI",0.000219497494981624,"Human","Crossplag",NA,"Fake College Essays - GPT3","GPT3",221,"Plain"
"213","AI",2.12284478183524e-06,"Human","GPTZero",NA,"Fake TOEFL - GPT4 - PE","GPT4",353,"Enhance like native"
"214","Human",0.343623882219279,"Human","GPTZero","No","Real TOEFL","Human",277,NA
"215","AI",1.47474244722172e-05,"Human","GPTZero",NA,"Fake CS224N - GPT3","GPT3",444,"Plain"
"216","AI",0.999999357874596,"AI","Sapling",NA,"Fake CS224N - GPT3","GPT3",17,"Plain"
"217","AI",0,"Human","ZeroGPT",NA,"Fake TOEFL - GPT4 - PE","GPT4",213,"Enhance like native"
"218","AI",0.9969,"AI","OriginalityAI",NA,"US 8th grade essay - GPT simplify","GPT4",114,"Simplify like non-native"
"219","Human",0.00078156386734918,"Human","OriginalityAI","Yes","Real CS224N","Human",822,NA
"220","AI",0.0066356533206999,"Human","OriginalityAI",NA,"Fake TOEFL - GPT4 - PE","GPT4",378,"Enhance like native"
"221","Human",0.0012054065009579,"Human","OriginalityAI","Yes","Real CS224N","Human",866,NA
"222","AI",0.995246469974518,"AI","Quil",NA,"US 8th grade essay - GPT simplify","GPT4",106,"Simplify like non-native"
"223","Human",0.000176907691638917,"Human","HFOpenAI","Yes","Real CS224N","Human",803,NA
"224","AI",0,"Human","ZeroGPT",NA,"Fake CS224N - GPT3, PE","GPT4",392,"Elevate using technical"
"225","Human",0.343623882219279,"Human","GPTZero","No","Real TOEFL","Human",196,NA
"226","AI",0.977450715145524,"AI","Sapling",NA,"US 8th grade essay - GPT simplify","GPT4",84,"Simplify like non-native"
"227","Human",0.970120578658251,"AI","Sapling","Yes","US 8th grade essay","Human",147,NA
"228","AI",0.123335599899292,"Human","Quil",NA,"Fake CS224N - GPT3","GPT3",384,"Plain"
"229","Human",0.112579685466038,"Human","Sapling","Yes","US 8th grade essay","Human",887,NA
"230","Human",0.75,"AI","ZeroGPT","No","Real TOEFL","Human",325,NA
"231","AI",0.951194356900802,"AI","GPTZero",NA,"Fake College Essays - GPT3","GPT3",907,"Plain"
"232","AI",0.997865259647369,"AI","Quil",NA,"Fake CS224N - GPT3, PE","GPT4",618,"Elevate using technical"
"233","AI",0.000100059347200011,"Human","GPTZero",NA,"Fake CS224N - GPT3, PE","GPT4",624,"Elevate using technical"
"234","AI",0.000182861287612468,"Human","HFOpenAI",NA,"Fake College Essays - GPT3 Prompt Engineered","GPT3",420,"Elevate using literary"
"235","Human",0.000195637214346789,"Human","HFOpenAI","Yes","US 8th grade essay","Human",94,NA
"236","AI",0,"Human","ZeroGPT",NA,"Fake CS224N - GPT3","GPT3",704,"Plain"
"237","AI",6.10209927698335e-07,"Human","Sapling",NA,"Fake TOEFL - GPT4 - PE","GPT4",911,"Enhance like native"
"238","AI",0.99171561002731,"AI","OriginalityAI",NA,"Fake CS224N - GPT3","GPT3",26,"Plain"
"239","AI",1,"AI","ZeroGPT",NA,"Fake College Essays - GPT3","GPT3",64,"Plain"
"240","Human",0.284263730049133,"Human","Quil","Yes","US 8th grade essay","Human",887,NA
"241","AI",5.23849272404675e-07,"Human","Sapling",NA,"Fake CS224N - GPT3, PE","GPT4",717,"Elevate using technical"
"242","Human",0.000176460700458847,"Human","Crossplag","Yes","Real College Essays","Human",917,NA
"243","AI",0.999979793299302,"AI","Sapling",NA,"Fake CS224N - GPT3","GPT3",574,"Plain"
"244","Human",2.12284478183524e-06,"Human","GPTZero","Yes","Real CS224N","Human",807,NA
"245","AI",0.733897387981415,"AI","Crossplag",NA,"US 8th grade essay - GPT simplify","GPT4",168,"Simplify like non-native"
"246","AI",0.000356771974998781,"Human","GPTZero",NA,"Fake CS224N - GPT3","GPT3",22,"Plain"
"247","AI",0.000531710567884147,"Human","HFOpenAI",NA,"Fake TOEFL - GPT4 - PE","GPT4",298,"Enhance like native"
"248","Human",0.000204578886041418,"Human","Crossplag","Yes","Real CS224N","Human",861,NA
"249","AI",0.00060345599194989,"Human","OriginalityAI",NA,"Fake TOEFL - GPT4 - PE","GPT4",78,"Enhance like native"
"250","AI",0.108699031174183,"Human","Crossplag",NA,"US 8th grade essay - GPT simplify","GPT4",197,"Simplify like non-native"
"251","Human",0.280774712562561,"Human","Quil","Yes","US 8th grade essay","Human",183,NA
"252","AI",0.971135258674622,"AI","Quil",NA,"Fake CS224N - GPT3, PE","GPT4",434,"Elevate using technical"
"253","Human",0.99491947889328,"AI","Quil","Yes","US 8th grade essay","Human",185,NA
"254","Human",0.25,"Human","ZeroGPT","No","Real TOEFL","Human",327,NA
"255","AI",0.99982625246048,"AI","Quil",NA,"US 8th grade essay - GPT simplify","GPT4",166,"Simplify like non-native"
"256","AI",0.999814569950104,"AI","Quil",NA,"Fake CS224N - GPT3","GPT3",666,"Plain"
"257","Human",5.30715082203148e-06,"Human","Sapling","No","Real TOEFL","Human",214,NA
"258","Human",0.000219114022911526,"Human","Crossplag","Yes","Real CS224N","Human",829,NA
"259","AI",0.000542926019988954,"Human","HFOpenAI",NA,"Fake College Essays - GPT3 Prompt Engineered","GPT3",68,"Elevate using literary"
"260","Human",0.375568185651362,"Human","GPTZero","Yes","Real College Essays","Human",917,NA
